Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2021-1000,01/26/2021,02/01/2021,Standard Class,CG-1062,Customer 58,Consumer,United States,Los Angeles,Illinois,21395,South,TEC-1520,Technology,Phones,Phones Model 2,196.45,4,0.2,402.02
2,CA-2021-1001,01/04/2023,01/10/2023,First Class,CG-1139,Customer 108,Consumer,United States,Houston,Illinois,46463,West,TEC-3615,Technology,Phones,Phones Model 45,851.0,5,0.0,15.31
3,CA-2021-1002,04/05/2021,04/09/2021,Second Class,CG-1091,Customer 89,Home Office,United States,Chicago,California,70217,West,OFF-7201,Office Supplies,Binders,Binders Model 6,1108.56,10,0.0,377.35
4,CA-2021-1003,02/16/2021,02/22/2021,Second Class,CG-1197,Customer 75,Consumer,United States,New York,California,59823,Central,TEC-8428,Technology,Phones,Phones Model 41,1669.88,3,0.0,155.27
5,CA-2021-1004,12/20/2022,12/26/2022,First Class,CG-1018,Customer 156,Home Office,United States,New York,Illinois,42087,East,TEC-8573,Technology,Laptops,Laptops Model 25,547.2,9,0.0,484.61
6,CA-2021-1005,04/22/2023,04/23/2023,Standard Class,CG-1102,Customer 69,Consumer,United States,New York,Illinois,51245,East,FUR-9179,Furniture,Chairs,Chairs Model 26,1770.52,8,0.0,64.88
7,CA-2021-1006,07/29/2022,08/03/2022,Standard Class,CG-1191,Customer 150,Corporate,United States,Phoenix,Florida,57447,East,FUR-3266,Furniture,Bookcases,Bookcases Model 33,992.1,1,0.0,-47.16
8,CA-2021-1007,03/09/2022,03/14/2022,Second Class,CG-1098,Customer 98,Home Office,United States,Houston,Illinois,42953,West,FUR-2876,Furniture,Bookcases,Bookcases Model 44,1770.73,5,0.3,140.18
9,CA-2021-1008,06/11/2021,06/15/2021,Second Class,CG-1184,Customer 185,Corporate,United States,Phoenix,New York,76542,West,OFF-5889,Office Supplies,Paper,Paper Model 41,1020.25,4,0.0,173.91
10,CA-2021-1009,03/09/2023,03/14/2023,Second Class,CG-1153,Customer 83,Corporate,United States,Los Angeles,California,57576,Central,FUR-4923,Furniture,Bookcases,Bookcases Model 4,489.33,10,0.0,-114.35
11,CA-2021-1010,02/18/2023,02/23/2023,Second Class,CG-1032,Customer 169,Corporate,United States,Phoenix,New York,44741,South,OFF-4470,Office Supplies,Binders,Binders Model 35,1512.98,4,0.3,111.72
12,CA-2021-1011,01/18/2022,01/22/2022,First Class,CG-1115,Customer 31,Consumer,United States,New York,California,54313,West,TEC-4770,Technology,Accessories,Accessories Model 38,448.23,2,0.3,431.1
13,CA-2021-1012,02/02/2021,02/09/2021,Standard Class,CG-1018,Customer 132,Consumer,United States,Chicago,Florida,38080,East,FUR-8744,Furniture,Chairs,Chairs Model 16,1571.39,7,0.0,-105.67
14,CA-2021-1013,12/29/2021,01/02/2022,Standard Class,CG-1119,Customer 187,Consumer,United States,Los Angeles,California,62772,Central,TEC-2790,Technology,Laptops,Laptops Model 16,391.26,9,0.1,-59.82
15,CA-2021-1014,04/19/2022,04/21/2022,Second Class,CG-1113,Customer 141,Consumer,United States,Los Angeles,Illinois,11934,West,FUR-4872,Furniture,Tables,Tables Model 11,818.76,8,0.0,664.65
16,CA-2021-1015,01/24/2022,01/25/2022,Standard Class,CG-1067,Customer 117,Corporate,United States,Houston,Illinois,96752,South,FUR-3536,Furniture,Chairs,Chairs Model 13,600.45,1,0.2,535.74
17,CA-2021-1016,11/18/2021,11/19/2021,Second Class,CG-1149,Customer 123,Home Office,United States,Phoenix,New York,17455,West,FUR-4044,Furniture,Bookcases,Bookcases Model 5,1194.12,4,0.1,-80.11
18,CA-2021-1017,08/16/2022,08/21/2022,Second Class,CG-1158,Customer 21,Corporate,United States,Phoenix,Illinois,78522,Central,TEC-5272,Technology,Phones,Phones Model 14,1342.75,6,0.0,65.61
19,CA-2021-1018,10/23/2022,10/26/2022,Standard Class,CG-1080,Customer 193,Consumer,United States,Los Angeles,Florida,91416,West,FUR-2200,Furniture,Bookcases,Bookcases Model 35,434.18,5,0.0,733.26
20,CA-2021-1019,01/14/2022,01/17/2022,Second Class,CG-1112,Customer 140,Home Office,United States,Chicago,Illinois,95717,West,FUR-5905,Furniture,Chairs,Chairs Model 43,216.14,3,0.0,-84.57
21,CA-2021-1020,07/21/2022,07/23/2022,Standard Class,CG-1072,Customer 155,Consumer,United States,Chicago,New York,93130,Central,FUR-9280,Furniture,Bookcases,Bookcases Model 32,509.73,1,0.0,434.28
22,CA-2021-1021,01/04/2021,01/07/2021,Second Class,CG-1163,Customer 68,Consumer,United States,Houston,Illinois,66057,West,OFF-2832,Office Supplies,Binders,Binders Model 5,1890.65,3,0.2,-163.97
23,CA-2021-1022,07/20/2022,07/22/2022,Standard Class,CG-1032,Customer 11,Corporate,United States,Chicago,California,56898,East,OFF-5088,Office Supplies,Pens,Pens Model 43,214.56,9,0.1,773.84
24,CA-2021-1023,08/31/2021,09/07/2021,Second Class,CG-1045,Customer 106,Consumer,United States,New York,Texas,63964,East,TEC-5371,Technology,Phones,Phones Model 11,1576.88,2,0.1,672.17
25,CA-2021-1024,07/24/2021,07/31/2021,Standard Class,CG-1089,Customer 79,Consumer,United States,New York,California,96511,East,OFF-7528,Office Supplies,Binders,Binders Model 22,564.42,2,0.0,151.15
26,CA-2021-1025,11/27/2022,12/04/2022,First Class,CG-1084,Customer 8,Consumer,United States,Chicago,New York,86099,Central,TEC-1626,Technology,Laptops,Laptops Model 7,1197.18,6,0.3,586.43
